Time Bucket (America/Chicago),Load Disaggregation 1_1 (kWatts)
11/16/2022 14:47:48,1.4243
11/16/2022 14:47:49,1.4243
11/16/2022 14:47:50,1.4243
11/16/2022 14:47:51,1.4243
11/16/2022 14:47:52,1.4192
11/16/2022 14:47:53,1.4192
11/16/2022 14:47:54,1.4192
11/16/2022 14:47:55,1.4192
11/16/2022 14:47:56,1.4192
11/16/2022 14:47:57,1.4197
11/16/2022 14:47:58,1.4197
11/16/2022 14:47:59,1.4197
11/16/2022 14:48:00,1.4197
11/16/2022 14:48:01,1.4197
11/16/2022 14:48:02,1.4206
11/16/2022 14:48:03,1.4206
11/16/2022 14:48:04,1.4206
11/16/2022 14:48:05,1.4206
11/16/2022 14:48:06,1.4206
11/16/2022 14:48:07,1.4258
11/16/2022 14:48:08,1.4258
11/16/2022 14:48:09,1.4258
11/16/2022 14:48:10,1.4258
11/16/2022 14:48:11,1.4258
11/16/2022 14:48:12,1.4309
11/16/2022 14:48:13,1.4309
11/16/2022 14:48:14,1.4309
11/16/2022 14:48:15,1.4309
11/16/2022 14:48:16,1.4309
11/16/2022 14:48:17,1.4308
11/16/2022 14:48:18,1.4308
11/16/2022 14:48:19,1.4308
11/16/2022 14:48:20,1.4308
11/16/2022 14:48:21,1.4308
11/16/2022 14:48:22,1.4299
11/16/2022 14:48:23,1.4299
11/16/2022 14:48:24,1.4299
11/16/2022 14:48:25,1.4299
11/16/2022 14:48:26,1.4299
11/16/2022 14:48:27,1.4291
11/16/2022 14:48:28,1.4291
11/16/2022 14:48:29,1.4291
11/16/2022 14:48:30,1.4291
11/16/2022 14:48:31,1.4291
11/16/2022 14:48:32,1.4276
11/16/2022 14:48:33,1.4276
11/16/2022 14:48:34,1.4276
11/16/2022 14:48:35,1.4276
11/16/2022 14:48:36,1.4276
11/16/2022 14:48:37,1.4293
11/16/2022 14:48:38,1.4293
11/16/2022 14:48:39,1.4293
11/16/2022 14:48:40,1.4293
11/16/2022 14:48:41,1.4293
11/16/2022 14:48:42,1.4289
11/16/2022 14:48:43,1.4289
11/16/2022 14:48:44,1.4289
11/16/2022 14:48:45,1.4289
11/16/2022 14:48:46,1.4289
11/16/2022 14:48:47,1.4309
11/16/2022 14:48:48,1.4309
11/16/2022 14:48:49,1.4309
11/16/2022 14:48:50,1.4309
11/16/2022 14:48:51,1.4309
11/16/2022 14:48:52,1.4307
11/16/2022 14:48:53,1.4307
11/16/2022 14:48:54,1.4307
11/16/2022 14:48:55,1.4307
11/16/2022 14:48:56,1.4307
11/16/2022 14:48:57,1.4305
11/16/2022 14:48:58,1.4305
11/16/2022 14:48:59,1.4305
11/16/2022 14:49:00,1.4305
11/16/2022 14:49:01,1.4305
11/16/2022 14:49:02,1.4299
11/16/2022 14:49:03,1.4299
11/16/2022 14:49:04,1.4299
11/16/2022 14:49:05,1.4299
11/16/2022 14:49:06,1.4299
11/16/2022 14:49:07,1.4301
11/16/2022 14:49:08,1.4301
11/16/2022 14:49:09,1.4301
11/16/2022 14:49:10,1.4301
11/16/2022 14:49:11,1.4301
11/16/2022 14:49:12,1.4297
11/16/2022 14:49:13,1.4297
11/16/2022 14:49:14,1.4297
11/16/2022 14:49:15,1.4297
11/16/2022 14:49:16,1.4297
11/16/2022 14:49:17,1.4311
11/16/2022 14:49:18,1.4311
11/16/2022 14:49:19,1.4311
11/16/2022 14:49:20,1.4311
11/16/2022 14:49:21,1.4311
11/16/2022 14:49:22,1.4309
11/16/2022 14:49:23,1.4309
11/16/2022 14:49:24,1.4309
11/16/2022 14:49:25,1.4309
11/16/2022 14:49:26,1.4309
11/16/2022 14:49:27,1.4284
11/16/2022 14:49:28,1.4284
11/16/2022 14:49:29,1.4284
11/16/2022 14:49:30,1.4284
11/16/2022 14:49:31,1.4284
11/16/2022 14:49:32,1.4287
11/16/2022 14:49:33,1.4287
11/16/2022 14:49:34,1.4287
11/16/2022 14:49:35,1.4287
11/16/2022 14:49:36,1.4287
11/16/2022 14:49:37,1.4298
11/16/2022 14:49:38,1.4298
11/16/2022 14:49:39,1.4298
11/16/2022 14:49:40,1.4298
11/16/2022 14:49:41,1.4298
11/16/2022 14:49:42,1.4325
11/16/2022 14:49:43,1.4325
11/16/2022 14:49:44,1.4325
11/16/2022 14:49:45,1.4325
11/16/2022 14:49:46,1.4325
11/16/2022 14:49:47,1.4308
11/16/2022 14:49:48,1.4308
11/16/2022 14:49:49,1.4308
11/16/2022 14:49:50,1.4308
11/16/2022 14:49:51,1.4308
11/16/2022 14:49:52,1.4284
11/16/2022 14:49:53,1.4284
11/16/2022 14:49:54,1.4284
11/16/2022 14:49:55,1.4284
11/16/2022 14:49:56,1.4284
11/16/2022 14:49:57,1.4273
11/16/2022 14:49:58,1.4273
11/16/2022 14:49:59,1.4273
11/16/2022 14:50:00,1.4273
11/16/2022 14:50:01,1.4273
11/16/2022 14:50:02,1.4273
11/16/2022 14:50:03,1.4273
11/16/2022 14:50:04,1.4273
11/16/2022 14:50:05,1.4273
11/16/2022 14:50:06,1.4273
11/16/2022 14:50:07,1.4290
11/16/2022 14:50:08,1.4290
11/16/2022 14:50:09,1.4290
11/16/2022 14:50:10,1.4290
11/16/2022 14:50:11,1.4290
11/16/2022 14:50:12,1.4303
11/16/2022 14:50:13,1.4303
11/16/2022 14:50:14,1.4303
11/16/2022 14:50:15,1.4303
11/16/2022 14:50:16,1.4303
11/16/2022 14:50:17,1.4324
11/16/2022 14:50:18,1.4324
11/16/2022 14:50:19,1.4324
11/16/2022 14:50:20,1.4324
11/16/2022 14:50:21,1.4324
11/16/2022 14:50:22,1.4342
11/16/2022 14:50:23,1.4342
11/16/2022 14:50:24,1.4342
